StateName,lat,lon,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,minDuration,durationDetails,statutes,bufferZone,details
Alabama,32.806671,-86.79113,12,11,19,21,22,28,28,25,27,28,29,100,Lifetime reg. Homeless registrants report once every 7 calendar days. §15- 20A-12. All others quarterly. §15-20A-10.,http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/coatoc.htm,2000,"2,000 ft. of school, child care facility, resident camp facility, victim or victimÕs immediate family; exceptions apply. _15- 20A-11. Additional restrictions apply to residence with any minor."
Alaska,61.370716,-152.404419,43,62,45,77,27,26,38,27,29,44,30,15,15 years to life. Tier I – annual reg. Tier 2 – quarterly reg.,http://www.legis.state.ak.us/basis/folio.asp,,-
Arizona,33.729759,-111.431221,16,19,23,23,23,23,22,22,22,22,23,10,10 years to life. Transients report every 90 days. All others annually.,http://www.azdps.gov/Services/Sex_Offender/Laws/,,-
Arkansas,34.969704,-92.373123,21,23,27,28,32,35,31,39,44,34,51,15,"15 years to life. Homeless report every 30 days. Sexually Violent Offenders report every 3 mo. All others report every 6 mo. §§12-12- 909, 12-12-919.",http://www.lexisnexis.com/hottopics/arcode/Default.asp,2000,"2,000 ft. of elementary or secondary school, public park, day care center, youth center. L3 & L4 offenders: 2,000 ft. of victim. L4 offenders: 2,000 ft. of church"
California,36.116203,-119.681564,29,24,24,18,17,23,33,33,21,21,21,100,Lifetime. SVPs update every 90 days; all others update annually. §290.012.,http://www.leginfo.ca.gov/calaw.html,2000,"2,000 ft. of schools and parks. _3003.5(b). NOTE: this statute was declared unconstitutional as applied to certain parolees by In re Taylor, 60 Cal. 4th 1019 (2015) and is no longer being enforced by the state. However, local governments may enforce this statute or local ordinances."
Colorado,39.059811,-105.311104,18,19,24,20,14,22,29,29,31,32,33,100,Lifetime. Quarterly reg. for SVPs and those convicted out-ofstate and required to register quarterly in state of convictions. All others reg. annually. §16-22-108,http://www.lexisnexis.com/hottopics/colorado/,,-
Connecticut,41.597782,-72.755371,11,12,13,13,14,14,15,15,15,15,16,10,"Ten years to life. §§54-251, 54-252. Confirmation of address required quarterly by return of mailing from state. §54-257.",https://www.cga.ct.gov/current/pub/chap_969.html,,-
Delaware,39.318523,-75.507141,35,35,8,39,42,44,44,51,53,50,50,15,"Tier I – 15 yrs and annual updates. Tier II – 25 yrs and updates every 6 mo. Tier III – Lifetime an updates every 3 mo. Homeless registrants update more frequently depending on tier. §§4120, 4121(k).",http://delcode.delaware.gov/title11/c041/sc03/,500,May not reside or loiter within 500 ft. of school property. _1112.
District of Columbia,38.897438,-77.026817,11,11,58,13,14,15,15,15,15,15,15,10,10 years or life. §22-4002. Updates for lifetime registrants are quarterly; all other registrants annually,http://www.dcregs.dc.gov/Gateway/ChapterHome.aspx?ChapterNumber=6-A4,,-
Florida,27.766279,-81.686783,19,20,24,26,28,28,25,30,31,32,33,100,"Lifetime, with potential for reduction. “Predators” and certain others update quarterly. All others update every 6 months.",https://offender.fdle.state.fl.us/offender/FloridaLaws.jsp,1000,"May not reside within 1,000 ft. of school, child care facility, park, or playground under certain circumstances. _775.215"
Georgia,33.040619,-83.643074,10,13,15,16,17,19,21,22,23,25,27,100,Lifetime. Sexually Dangerous Predator updates every 6 months. All others update annually within 72 hours of birthday.,https://gbi.georgia.gov/sex-offenderregistry-frequently-askedquestions#top,1000,"May not reside, loiter, or be employed within 1,000 ft. of child care facility, church, school, or area where minors congregate. Certain other employment restrictions apply. __42-1-15 through 42-1-17."
Hawaii,21.094318,-157.498337,15,17,18,19,21,22,25,24,21,21,21,100,Lifetime. May petition for relief based on tier. Updates required within 30 days of birthday. §846E-2,http://www.capitol.hawaii.gov/hrscurrent/Vol14_Ch0701-0853/HRS0846E/HRS_0846E-.htm,,-
Idaho,44.240459,-114.478828,18,19,19,20,21,22,23,23,24,25,26,10,10 years to life. Sexually Violent Persons must update every 3 months. All others update annually. §18-8307.,https://legislature.idaho.gov/idstat/TOC/IDStatutesTOC.htm,500,"May not reside or loiter within 500 ft. of school, and may not reside within more than one person also required to register, with certain exceptions. __18-8331, 18-8332."
Illinois,40.349457,-88.986137,14,14,19,15,18,16,17,22,17,18,18,10,10 years to life. Sexually Violent Persons must update quarterly. All other update annually. §730 I.L.C.S. §150/5- 10.,http://www.ilga.gov/legislation/ilcs/ilcs.asp,500,"ÒChild sex offenderÓ may not reside w/in 500 ft. of school, park, playground, or facility where minors gather. _730 I.L.C.S. _150/8."
Indiana,39.849426,-86.258278,12,13,14,15,19,16,14,15,22,17,17,10,10 years to life. “Violent” offenders update every 90 days. All others update annually. §11-8-8-14.,http://iga.in.gov/legislative/laws/2016/ic/,,Paroled registrants face certain residence restrictions. _11-13-3-4.
Iowa,42.011539,-93.210526,21,20,21,18,16,23,17,17,19,19,17,10,10 years to life. Updates depend on tier level: TI – annually TII – every 6 mo. TIII – quarterly. §§692A.104,-,2000,"Registrants with convictions of involving minors for Òsexual abuseÓ in the 1st or 2nd degree, or in the 3d degree except for a conviction under I.C. _709.4(2)(c)(4), may not reside w/in 2,000 ft. of daycare center."
Kansas,38.5266,-96.726486,13,14,17,21,41,34,21,22,26,30,33,15,15 years to life. Updates are required quarterly in specific months per. K.S.A. §22-4905.,http://www.kslegislature.org/li_2014/b2013_14/statute/022_000_0000_chapter/022_049_0000_article/,,"None, and local residence restrictions are expressly prohibited by K.S.A. _22-4913."
Kentucky,37.66814,-84.670067,12,13,15,16,17,19,20,21,22,23,24,20,20 years or lifetime. §17.520. Updates based on tiers: TI – Annually TI or SVP – ever 90 days. §17.520.,http://www.lrc.ky.gov/statutes/chapter.aspx?id=37126,1000,"1,000 ft. of schools, day care facilities, and publicly owned playgrounds; must move out of residence within 90 days if a new residence opens. _17.545."
Louisiana,31.169546,-91.867805,14,16,17,18,21,17,18,23,18,19,20,15,15 years to life based on tier. §15:544. Updates based on tiers: TI – annually TII – every 6 mo. TIII – every 3 mo. §15:52.1.1,http://www.lsp.org/socpr/registration.html,,Residence and presence restrictions apply to certain registrants convicted of offenses involving victims under the age of 13. _14:91.02
Maine,44.693947,-69.381927,12,13,21,23,25,25,22,22,23,24,21,10,"10 years to life. Duration of reg. requirement and frequency of updates are determined by date convicted and tier. §§11222, 11285.",http://www.mainelegislature.org/legis/statutes/34-A/title34-Ach0sec0.html,,"For registrants convicted after June 30, 1992 of an offense against a person younger than 14, Maine prohibits the knowing initiation of contact with a person younger than 14 in a Òsex offender restricted zone,Ó unless the parent consents or the contact is for employment purposes."
Maryland,39.063946,-76.802101,8,8,8,10,11,11,12,13,14,15,12,15,"15 years to file depending on Tier. Updates based on tier: Tier I – every 6 mo. Tier II – every 6 mo. Tier III – every 3 mo. Homeless registrants must update once per week. §§11-705, 11-707.",http://www.lawlib.state.md.us/researchtools/sourcesmdlaw.html,,may not knowing enter school grounds or property containing a child care home or child care institution. _11-705.
Massachusetts,42.230171,-71.530106,28,13,18,23,20,23,17,17,17,17,17,20,20 years to life. §178G. Updates based on Tier: Unclassified and Tier I – Annually by mail Tier II and Tier III – annually in person. Homeless registrants and those living at shelters must register every 30 days. §178E; §178F1/2,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter6,,-
Michigan,43.326618,-84.536095,36,38,41,48,44,46,47,40,41,38,42,15,15 years to life. Updates based on tier: Tier I – annually Tier II – every 6 mo. Tier III – ever 3 mo. 28.725.§,http://www.legislature.mi.gov/(S(mmri5ddctiu0og30csssolth))/mileg.aspx?page=getObject&objectName=mclAct-295-of-1994,1000,"1,000 feet of Òstudent safety zone,Ó i.e., a school, with certain exceptions. __28.734, 28.736. Those convicted when residing in a student safety zone have 90 days to relocate. _28.735(4)."
Minnesota,45.694454,-93.900192,31,27,27,39,28,30,30,32,32,32,32,10,"10 years to life. Updates for all registrants required annually, except weekly updates are required for those lacking a permanent residence. §243.166.",https://www.revisor.mn.gov/statutes/?id=243.166,,-
Mississippi,32.741646,-89.678696,11,13,16,17,18,20,23,24,26,28,31,15,"15 years to life based on tier. Registrants who are electronically monitored must update annually. §45-33-31. For all others, updates are required every quarter, in person at the Drivers’ License station to obtain a new “sex offender card.” §45-33-31",http://state.sor.dps.ms.gov/so_law.html,1500,"1,500 ft. of school; child care facility; Òresidential child-caring agency;Ó a childrenÕs group home; or playground, ballpark, or other recreational facility used by children. _45-33-25."
Missouri,38.456085,-92.288368,19,19,12,12,12,19,20,21,22,24,25,2,2 years to life. Updates based on tier. Tier III – every 90 days. Tier I and Tier I – every 6 mo. §589.400,http://www.moga.mo.gov/mostatutes/statutesAna.html,1000,"Certain offenders may not reside w/in 1,000 ft. of school or child care center. _566.145."
Montana,46.921925,-110.454353,36,16,18,18,18,20,21,21,23,23,23,10,"10 years to life. Updates based on tier: Tier 1 – annual by mail Tier II – every 180 days by mail Tier III – every 90 days by mail Transients must appear in person every 30 days. §§46-23-504, 56-23- 506.",http://leg.mt.gov/bills/mca_toc/46_23_5.htm,,-
Nebraska,41.12537,-98.268082,12,12,15,15,16,17,20,21,23,25,27,15,"Fifteen years to life. Updates based on tier. Tier I – annually. Tier II – every 6 mo. Tier II – every 4 mo. Homeless registrants must report in person every 30 days. §§29-4004, 29-4006",http://nebraskalegislature.gov/laws/browse-chapters.php?chapter=29,,"Nebraska has a statute preempting local residency restrictions except in certain narrow circumstances (e.g., 500 ft. exclusion zones applicable to SVPs). _29-4017."
Nevada,38.313515,-117.055374,19,22,23,24,24,24,25,24,26,22,23,15,"15 years to life. Updates are annual by mail, except SVPs must update by mail every 90 days. §179D.480.",-,,-
New Hampshire,43.452492,-71.563896,24,25,88,17,31,18,18,18,19,18,21,10,10 years to life. Updates based on tier: Tiers I and II – every 6 mos. Tier II – every 3 mos.,http://www.gencourt.state.nh.us/rsa/html/lxii/651-b/651-b-mrg.htm,,-
New Jersey,40.298904,-74.521011,12,13,4,14,14,15,16,16,17,20,20,15,15 years to life. Updates for “compulsive or repeat” offenders are quarterly; all other update annually. §2C:7-2,http://www.njleg.state.nj.us/,,-
New Mexico,34.840515,-106.248482,10,10,11,11,12,13,14,14,17,19,17,10,10 years to life. Updates are every 6 mo. or every 90 days depending on offense. §29-11A-4.,http://public.nmcompcomm.us/nmnxtadmin/NMPublic.aspx,,-
New York,42.165726,-74.948051,11,12,13,14,15,15,16,17,18,19,16,20,20 years to life. LIII offenders and “sexual predators” update every 90 days; all others update annually. §168-h.,http://www.criminaljustice.ny.gov/nsor/claws.htm,1000,"Certain laws may impose a 1,000 ft. residency restriction from schools and child care facilities for registrants on parole or probation."
North Carolina,35.630066,-79.806419,12,10,13,13,15,13,14,15,15,20,17,30,"30 years to life, with option to petition after 10 years. Tier III updates every 90 days; all others every six months. §§14-208.7A, 14- 209A.",http://ncleg.net/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_14/Article_27A.pdf,1000,"1,000 ft. of school or child care center, with exceptions. _14-206.16."
North Dakota,47.528912,-99.784012,12,15,16,19,45,39,22,25,30,24,23,15,15 to life. Frequency of updates determined by AG. §12.1-32.15.,http://www.legis.nd.gov/generalinformation/north-dakota-centurycode,,"May not knowingly enter school without permission, subject to exceptions. _12.1-20-25."
Ohio,40.388783,-82.764915,12,12,15,15,17,16,26,17,16,16,15,10,10 years to life. Updates by tier: Tier I – annually Tier II – every 6 mo. Tier III – every 3 mo. §2950.15.,http://codes.ohio.gov/orc/2950,1000,"1,000 ft. from school, preschool, or child day-care premises. _2950.034."
Oklahoma,35.565342,-96.928917,16,14,27,15,18,17,18,19,20,15,16,15,15 years to life. §57-583(C). Updates based on tier: Tier I – annually Tier II – every 6 mo. Tier III – every 3 mo.,http://www.oklegislature.gov/osstatuestitle.html,2000,"2,000 ft. from school, Òeducational institution,Ó campsite used for children, parks, and day care facilities. _57-590. Registrants are also banned from living in the same dwelling. _57-590.1."
Oregon,44.572021,-122.070938,42,47,51,38,43,56,46,63,48,69,71,10,10 years to life. Updates annually.,https://www.oregonlegislature.gov/bills_laws/ors/ors163A.html,,ÒSexually violent dangerousÓ offenders and Òpredatory sex offendersÓ may nor reside Ònear locations where children are the primary occupants or users.Ó O.A.R. 291-202-0040.
